simnum,ntimes,family,var,ests,lower,upper
262,6,crude,die_wprog,0.308,0.2540382619773145,0.36777292502893616
262,6,crude,die_noprog,0.396,0.33738981084356817,0.45775791545148425
262,6,crude,rmpfst,0.4888938758941952,0.45183556558613786,0.5259521862022525
262,6,crude,time2prog_gprog,0.4194584461369227,0.37790494565808214,0.4610119466157632
262,6,crude,time2prog_all,0.7283065527920795,0.6874701382043816,0.7691429673797773
262,6,crude,illnessdur,0.3083222162070511,0.26493424880043076,0.3517101836136714
263,6,crude,pfs,0.088,0.05883135595378163,0.12963848283046467
263,6,crude,prog,0.532,0.47013118515223484,0.5929002836800568
263,6,crude,die_wprog,0.368,0.3106374013678842,0.42935778969891303
263,6,crude,die_noprog,0.38,0.3220773718978933,0.4415546199810133
263,6,crude,rmpfst,0.46630966599536894,0.4295445796391067,0.5030747523516311
263,6,crude,time2prog_gprog,0.41336327774646003,0.3737357576367595,0.4529907978561606
263,6,crude,time2prog_all,0.7090281857622438,0.6676965680753864,0.7503598034491012
263,6,crude,illnessdur,0.27565048221764465,0.23446423225844265,0.31683673217684666
264,6,crude,pfs,0.08,0.052382328372331775,0.12032964320384165
264,6,crude,prog,0.568,0.5060249967174062,0.6279168745512133
264,6,crude,die_wprog,0.368,0.3106374013678842,0.42935778969891303
264,6,crude,die_noprog,0.352,0.2954446480491309,0.41303480860152053
264,6,crude,rmpfst,0.4783745206586733,0.44474243596149343,0.5120066053558532
264,6,crude,time2prog_gprog,0.4409273226004653,0.4042098663882818,0.4776447788126488
264,6,crude,time2prog_all,0.6936281727850546,0.6536965502053212,0.733559795364788
264,6,crude,illnessdur,0.3048871236804615,0.2634079732688054,0.3463662740921176
265,6,crude,pfs,0.12,0.08536319974216686,0.166138107874371
265,6,crude,prog,0.484,0.4227644183135957,0.5457198472702585
265,6,crude,die_wprog,0.264,0.2132279591407553,0.3219149582210945
265,6,crude,die_noprog,0.396,0.33738981084356817,0.45775791545148425
265,6,crude,rmpfst,0.47385892780377414,0.43673632118097394,0.5109815344265743
265,6,crude,time2prog_gprog,0.40660778878736337,0.36722720561872685,0.4459883719559999
265,6,crude,time2prog_all,0.7294131516870375,0.6886126536377183,0.7702136497363566
265,6,crude,illnessdur,0.36830028607798754,0.3225921509229656,0.41400842123300946
266,6,crude,pfs,0.088,0.05883135595378163,0.12963848283046467
266,6,crude,prog,0.568,0.5060249967174062,0.6279168745512133
266,6,crude,die_wprog,0.376,0.31825978130242794,0.4374932769724422
266,6,crude,die_noprog,0.344,0.28787477716960375,0.4048468122729748
266,6,crude,rmpfst,0.4607489287117823,0.4250856880934561,0.4964121693301085
266,6,crude,time2prog_gprog,0.4110726270091898,0.37442061437332885,0.4477246396450507
266,6,crude,time2prog_all,0.6796235090929988,0.6381550091060295,0.7210920090799682
266,6,crude,illnessdur,0.3197863453157788,0.2788758839697737,0.36069680666178394
267,6,crude,pfs,0.108,0.0752919484005553,0.1525725584038732
267,6,crude,prog,0.552,0.4900328126787554,0.6123933241737184
267,6,crude,die_wprog,0.384,0.325899194520949,0.4456117309619941
267,6,crude,die_noprog,0.34,0.28409658843703767,0.40074606740150454
267,6,crude,rmpfst,0.47936480744307264,0.44240337499868637,0.5163262398874588
267,6,crude,time2prog_gprog,0.43424655264059814,0.3967347554382202,0.4717583498429761
267,6,crude,time2prog_all,0.7035451935836733,0.6633812778615421,0.7437091093058045
267,6,crude,illnessdur,0.28226842254869566,0.24119249331138787,0.32334435178600346
268,6,crude,pfs,0.088,0.05883135595378163,0.12963848283046467
268,6,crude,prog,0.552,0.4900328126787554,0.6123933241737184
268,6,crude,die_wprog,0.352,0.2954446480491309,0.41303480860152053
268,6,crude,die_noprog,0.36,0.3030322765929638,0.4212050472657606
268,6,crude,rmpfst,0.44725935105272396,0.4107992345973562,0.48371946750809175
268,6,crude,time2prog_gprog,0.37820720314687434,0.3429265501927245,0.4134878561010242
268,6,crude,time2prog_all,0.6766677456363742,0.63401260993628,0.7193228813364685
268,6,crude,illnessdur,0.3490806628193619,0.30547619198853115,0.39268513365019264
269,6,crude,pfs,0.084,0.055596038766644665,0.1249948664135652
269,6,crude,prog,0.588,0.5261050290746588,0.6472315102141428
